序号,门次,门名,卷次,位次,轮相,首字,首字表义,次字,次字表义,判定,去处,去处门次,升降,贈掷,白话说明,说明来源,承注层级,谱曰原文（本位按语）,引文,引文出处,引文所出之位
1779,第6门,生善滅惡門,卷3,取相懺,阿佛,阿,施善,佛,无漏善慧,行,業清淨戒,第7门,升,,「阿」表施善、「佛」表无漏善慧。根本坚明，故入业清净戒。,手工逐组（门1–14 手写）,直說,阿佛。則根本堅明。,阿佛。則根本堅明。,《選佛譜》卷第三・取相懺・L131,取相懺
1780,第6门,生善滅惡門,卷3,取相懺,彌彌,彌,戒善,彌,戒善,行,二性地,第11门,升,,「彌彌」二字俱表戒善。接彼相似空性法流，故成二性地。,手工逐组（门1–14 手写）,直說,彌彌。則接彼相似空性法流。,彌彌。則接彼相似空性法流。,《選佛譜》卷第三・取相懺・L131,取相懺
1781,第6门,生善滅惡門,卷3,取相懺,彌陀,彌,戒善,陀,定善,行,八迴向心,第12门,升,,「彌」表戒善、「陀」表定善。仰信中道，渐能伏见思惑，故入八回向心。,手工逐组（门1–14 手写）,直說,阿陀等三。則仰信中道。漸能伏見思惑。,阿陀等三。則仰信中道。漸能伏見思惑。,《選佛譜》卷第三・取相懺・L131,取相懺
1782,第6门,生善滅惡門,卷3,取相懺,彌佛,彌,戒善,佛,无漏善慧,行,餘清淨戒,第7门,升,,「彌」表戒善、「佛」表无漏善慧。律仪成就，故入余清净戒。,手工逐组（门1–14 手写）,直說,彌佛。則律儀成就。,彌佛。則律儀成就。,《選佛譜》卷第三・取相懺・L131,取相懺
1783,第6门,生善滅惡門,卷3,取相懺,陀陀,陀,定善,陀,定善,行,十願心,第12门,升,,「陀陀」二字俱表定善。仰信中道，渐能伏见思惑，故入十愿心。,手工逐组（门1–14 手写）,直說,阿陀等三。則仰信中道。漸能伏見思惑。,阿陀等三。則仰信中道。漸能伏見思惑。,《選佛譜》卷第三・取相懺・L131,取相懺
1784,第6门,生善滅惡門,卷3,取相懺,陀佛,陀,定善,佛,无漏善慧,行,覺清淨戒,第7门,升,,「陀」表定善、「佛」表无漏善慧。定其得发，故入觉清净戒。,手工逐组（门1–14 手写）,直說,陀佛。則定其得發。,陀佛。則定其得發。,《選佛譜》卷第三・取相懺・L131,取相懺
1785,第6门,生善滅惡門,卷3,取相懺,佛佛,佛,无漏善慧,佛,无漏善慧,行,無上道戒,第7门,升,,「佛佛」二字俱表无漏善慧。圆满戒度，故入无上道戒。,手工逐组（门1–14 手写）,直說,佛佛。則圓滿戒度。,佛佛。則圓滿戒度。,《選佛譜》卷第三・取相懺・L131,取相懺
1786,第6门,生善滅惡門,卷3,無生懺,那那,那,见烦恼,那,见烦恼,行,發聲聞心,第9门,升,,「那那」二字俱表见烦恼。见思垢重，智慧狭劣，虽观无生仍趣偏径，故发声闻心。,手工逐组（门1–14 手写）,直說,今那那等三。見思垢重。智慧狹劣。故雖觀無生。仍趣偏徑。,今那那等三。見思垢重。智慧狹劣。故雖觀無生。仍趣偏徑。,《選佛譜》卷第三・無生懺・L135,無生懺
1787,第6门,生善滅惡門,卷3,無生懺,那謨,那,见烦恼,謨,爱烦恼,行,發聲聞心,第9门,升,,「那」表见烦恼、「謨」表爱烦恼。见思垢重，智慧狭劣，虽观无生仍趣偏径，故发声闻心。,手工逐组（门1–14 手写）,直說,今那那等三。見思垢重。智慧狹劣。故雖觀無生。仍趣偏徑。,今那那等三。見思垢重。智慧狹劣。故雖觀無生。仍趣偏徑。,《選佛譜》卷第三・無生懺・L135,無生懺
1788,第6门,生善滅惡門,卷3,無生懺,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1789,第6门,生善滅惡門,卷3,無生懺,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1790,第6门,生善滅惡門,卷3,無生懺,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1791,第6门,生善滅惡門,卷3,無生懺,那佛,那,见烦恼,佛,无漏善慧,行,求生淨土,第9门,升,,「那」表见烦恼、「佛」表无漏善慧。志在带业横超，故求生净土。,手工逐组（门1–14 手写）,直說,那佛。則志在帶業橫超。故為求生淨土。,那佛。則志在帶業橫超。故為求生淨土。,《選佛譜》卷第三・無生懺・L135,無生懺
1792,第6门,生善滅惡門,卷3,無生懺,謨謨,謨,爱烦恼,謨,爱烦恼,行,發辟支佛心,第9门,升,,「謨謨」二字俱表爱烦恼。见思垢重，智慧狭劣，虽观无生仍趣偏径，故发辟支佛心。,手工逐组（门1–14 手写）,直說,今那那等三。見思垢重。智慧狹劣。故雖觀無生。仍趣偏徑。,今那那等三。見思垢重。智慧狹劣。故雖觀無生。仍趣偏徑。,《選佛譜》卷第三・無生懺・L135,無生懺
1793,第6门,生善滅惡門,卷3,無生懺,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1794,第6门,生善滅惡門,卷3,無生懺,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1795,第6门,生善滅惡門,卷3,無生懺,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1796,第6门,生善滅惡門,卷3,無生懺,謨佛,謨,爱烦恼,佛,无漏善慧,行,圓五品位,第13门,升,,「謨」表爱烦恼、「佛」表无漏善慧。具缚能知秘藏，故为圆五品位。,手工逐组（门1–14 手写）,直說,謨佛。則具縛能知祕藏。故為圓五品位。,謨佛。則具縛能知祕藏。故為圓五品位。,《選佛譜》卷第三・無生懺・L135,無生懺
1797,第6门,生善滅惡門,卷3,無生懺,阿阿,阿,施善,阿,施善,行,事六度心,第9门,升,,「阿阿」二字俱表施善。生灭门中创发大愿，故成事六度心。,手工逐组（门1–14 手写）,直說,阿阿。則生滅門中創發大願。成事度心。,阿阿。則生滅門中創發大願。成事度心。,《選佛譜》卷第三・無生懺・L135,無生懺
1798,第6门,生善滅惡門,卷3,無生懺,阿彌,阿,施善,彌,戒善,行,二性地,第11门,升,,「阿」表施善、「彌」表戒善。观生无生得相似解，故成二性地。,手工逐组（门1–14 手写）,直說,阿彌。則觀生無生得相似解。故成性地。,阿彌。則觀生無生得相似解。故成性地。,《選佛譜》卷第三・無生懺・L135,無生懺
1799,第6门,生善滅惡門,卷3,無生懺,阿陀,阿,施善,陀,定善,行,初發心住,第12门,升,,「阿」表施善、「陀」表定善。次第门中创见真谛，故为初发心住。,手工逐组（门1–14 手写）,直說,阿陀。則次第門中。創見真諦。故為初住。,阿陀。則次第門中。創見真諦。故為初住。,《選佛譜》卷第三・無生懺・L135,無生懺
1800,第6门,生善滅惡門,卷3,無生懺,阿佛,阿,施善,佛,无漏善慧,行,圓十信位,第13门,升,,「阿」表施善、「佛」表无漏善慧。粗垢已除，故登圆十信位。,手工逐组（门1–14 手写）,直說,阿佛。則麤垢已除。故登圓十信位。,阿佛。則麤垢已除。故登圓十信位。,《選佛譜》卷第三・無生懺・L135,無生懺
1801,第6门,生善滅惡門,卷3,無生懺,彌彌,彌,戒善,彌,戒善,行,三八人地,第11门,升,,「彌彌」二字俱表戒善。纯观无生，发真不远，故为三八人地。,手工逐组（门1–14 手写）,直說,彌彌。則純觀無生。發真不遠。為八人地。,彌彌。則純觀無生。發真不遠。為八人地。,《選佛譜》卷第三・無生懺・L135,無生懺
1802,第6门,生善滅惡門,卷3,無生懺,彌陀,彌,戒善,陀,定善,行,七不退住,第12门,升,,「彌」表戒善、「陀」表定善。十善已纯，能出三界，故为七不退住。,手工逐组（门1–14 手写）,直說,彌陀。則十善已純。能出三界故為七住。,彌陀。則十善已純。能出三界故為七住。,《選佛譜》卷第三・無生懺・L135,無生懺
1803,第6门,生善滅惡門,卷3,無生懺,彌佛,彌,戒善,佛,无漏善慧,行,上品上生,第14门,横超,,「彌」表戒善、「佛」表无漏善慧。具戒见佛，故得上品上生。,手工逐组（门1–14 手写）,直說,彌佛。則具戒見佛。故得上品上生。,彌佛。則具戒見佛。故得上品上生。,《選佛譜》卷第三・無生懺・L135,無生懺
1804,第6门,生善滅惡門,卷3,無生懺,陀陀,陀,定善,陀,定善,行,十灌頂住,第12门,升,,「陀陀」二字俱表定善。三昧力胜，通诸法门，故为十灌顶住。,手工逐组（门1–14 手写）,直說,陀陀。則三昧力勝。通諸法門。故為十住。,陀陀。則三昧力勝。通諸法門。故為十住。,《選佛譜》卷第三・無生懺・L135,無生懺
1805,第6门,生善滅惡門,卷3,無生懺,陀佛,陀,定善,佛,无漏善慧,行,方便有餘淨土,第14门,横超,,「陀」表定善、「佛」表无漏善慧。定慧相资，舍分段而获意生，故生方便有余净土。,手工逐组（门1–14 手写）,直說,陀佛。則定慧相資。捨分段而獲意生。,陀佛。則定慧相資。捨分段而獲意生。,《選佛譜》卷第三・無生懺・L135,無生懺
1806,第6门,生善滅惡門,卷3,無生懺,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十住位,第13门,升,,「佛佛」二字俱表无漏善慧。性修不二，开佛眼而登圆住，故入圆十住位。,手工逐组（门1–14 手写）,直說,佛佛。則性修不二。開佛眼而登圓住。,佛佛。則性修不二。開佛眼而登圓住。,《選佛譜》卷第三・無生懺・L135,無生懺
1807,第7门,增上戒學門,卷3,在家五戒,那那,那,见烦恼,那,见烦恼,行,作法懺,第6门,降,,「那那」二字俱表见烦恼。必有毁犯，故须作法忏除，入作法忏。,手工逐组（门1–14 手写）,直說,那那。則必有毀犯。故須作法懺除。,那那。則必有毀犯。故須作法懺除。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1808,第7门,增上戒學門,卷3,在家五戒,那謨,那,见烦恼,謨,爱烦恼,行,南贍部洲,第4门,降,,「那」表见烦恼、「謨」表爱烦恼。引业所牵，命终还生人道，故生南赡部洲。,手工逐组（门1–14 手写）,直說,那謨。則引業所牽。命終還生人道。,那謨。則引業所牽。命終還生人道。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1809,第7门,增上戒學門,卷3,在家五戒,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1810,第7门,增上戒學門,卷3,在家五戒,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1811,第7门,增上戒學門,卷3,在家五戒,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1812,第7门,增上戒學門,卷3,在家五戒,那佛,那,见烦恼,佛,无漏善慧,行,五停心,第10门,升,,「那」表见烦恼、「佛」表无漏善慧。五停以调见，故入五停心。,手工逐组（门1–14 手写）,直說,那佛。則五停以調見,那佛。則五停以調見,《選佛譜》卷第三・在家五戒・L145,在家五戒
1813,第7门,增上戒學門,卷3,在家五戒,謨謨,謨,爱烦恼,謨,爱烦恼,行,四王天,第4门,升,,「謨謨」二字俱表爱烦恼。异熟果尽，戒福得升初天，故生四王天。,手工逐组（门1–14 手写）,直說,謨謨。則異熟果盡。戒福得升初天。,謨謨。則異熟果盡。戒福得升初天。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1814,第7门,增上戒學門,卷3,在家五戒,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1815,第7门,增上戒學門,卷3,在家五戒,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1816,第7门,增上戒學門,卷3,在家五戒,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1817,第7门,增上戒學門,卷3,在家五戒,謨佛,謨,爱烦恼,佛,无漏善慧,行,初乾慧地,第11门,升,,「謨」表爱烦恼、「佛」表无漏善慧。乾慧以治思，故入初乾慧地。,手工逐组（门1–14 手写）,直說,謨佛。則乾慧以治思。,謨佛。則乾慧以治思。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1818,第7门,增上戒學門,卷3,在家五戒,阿阿,阿,施善,阿,施善,行,八關齋戒,第7门,升,,「阿阿」二字俱表施善。随力浅深，渐成增上，故加受八关斋戒。,手工逐组（门1–14 手写）,直說,阿阿等六。隨力淺深。漸成增上。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1819,第7门,增上戒學門,卷3,在家五戒,阿彌,阿,施善,彌,戒善,行,沙彌十戒,第7门,升,,「阿」表施善、「彌」表戒善。随力浅深，渐成增上，故进受沙弥十戒。,手工逐组（门1–14 手写）,直說,阿阿等六。隨力淺深。漸成增上。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1820,第7门,增上戒學門,卷3,在家五戒,阿陀,阿,施善,陀,定善,行,持比丘律,第7门,升,,「阿」表施善、「陀」表定善。随力浅深，渐成增上，故能持比丘律。,手工逐组（门1–14 手写）,直說,阿阿等六。隨力淺深。漸成增上。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1821,第7门,增上戒學門,卷3,在家五戒,阿佛,阿,施善,佛,无漏善慧,行,業清淨戒,第7门,升,,「阿」表施善、「佛」表无漏善慧。成菩萨居士，故业清净，入业清净戒。,手工逐组（门1–14 手写）,直說,阿佛。則成菩薩居士。故業清淨。,阿佛。則成菩薩居士。故業清淨。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1822,第7门,增上戒學門,卷3,在家五戒,彌彌,彌,戒善,彌,戒善,行,持比丘律,第7门,升,,「彌彌」二字俱表戒善。随力浅深，渐成增上，故能持比丘律。,手工逐组（门1–14 手写）,直說,阿阿等六。隨力淺深。漸成增上。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1823,第7门,增上戒學門,卷3,在家五戒,彌陀,彌,戒善,陀,定善,行,持二部律,第7门,升,,「彌」表戒善、「陀」表定善。随力浅深，渐成增上，故能持二部律。,手工逐组（门1–14 手写）,直說,阿阿等六。隨力淺深。漸成增上。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1824,第7门,增上戒學門,卷3,在家五戒,彌佛,彌,戒善,佛,无漏善慧,行,餘清淨戒,第7门,升,,「彌」表戒善、「佛」表无漏善慧。为菩萨比丘，故余清净，入余清净戒。,手工逐组（门1–14 手写）,直說,彌佛。則為菩薩比丘。故餘清淨。,彌佛。則為菩薩比丘。故餘清淨。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1825,第7门,增上戒學門,卷3,在家五戒,陀陀,陀,定善,陀,定善,行,廣持毗尼,第7门,升,,「陀陀」二字俱表定善。随力浅深，渐成增上，故广持毗尼。,手工逐组（门1–14 手写）,直說,阿阿等六。隨力淺深。漸成增上。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1826,第7门,增上戒學門,卷3,在家五戒,陀佛,陀,定善,佛,无漏善慧,行,中品中生,第14门,横超,,「陀」表定善、「佛」表无漏善慧。准十六观经而生净土，故得中品中生。,手工逐组（门1–14 手写）,直說,陀佛。則准十六觀經而生淨土。,陀佛。則准十六觀經而生淨土。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1827,第7门,增上戒學門,卷3,在家五戒,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十信位,第13门,升,,「佛佛」二字俱表无漏善慧。悟戒之实相而净六根，故入圆十信位。,手工逐组（门1–14 手写）,直說,佛佛。則悟戒之實相而淨六根。,佛佛。則悟戒之實相而淨六根。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1828,第7门,增上戒學門,卷3,八關齋戒,那那,那,见烦恼,那,见烦恼,行,作法懺,第6门,降,,「那那」二字俱表见烦恼。必有毁犯，故须作法忏除，入作法忏。,手工逐组（门1–14 手写）,直說,,一日一夜為淨行優婆塞。持八支戒。……故名八關戒齋。……今約已受五戒。又於月六齋日加受此戒。故功行稍勝也。,《選佛譜》卷第三・八關齋戒・L149,八關齋戒
1829,第7门,增上戒學門,卷3,八關齋戒,那謨,那,见烦恼,謨,爱烦恼,行,四王天,第4门,升,,「那」表见烦恼、「謨」表爱烦恼。引业所牵，而此戒功行稍胜，故承戒福生四王天。,手工逐组（门1–14 手写）,承注,,那謨。則引業所牽。命終還生人道。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1830,第7门,增上戒學門,卷3,八關齋戒,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1831,第7门,增上戒學門,卷3,八關齋戒,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1832,第7门,增上戒學門,卷3,八關齋戒,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1833,第7门,增上戒學門,卷3,八關齋戒,那佛,那,见烦恼,佛,无漏善慧,行,五停心,第10门,升,,「那」表见烦恼、「佛」表无漏善慧。五停以调见，故入五停心。,手工逐组（门1–14 手写）,承注,,那佛。則五停以調見,《選佛譜》卷第三・在家五戒・L145,在家五戒
1834,第7门,增上戒學門,卷3,八關齋戒,謨謨,謨,爱烦恼,謨,爱烦恼,行,忉利天,第4门,升,,「謨謨」二字俱表爱烦恼。异熟果尽而功行稍胜，戒福得升，故生忉利天。,手工逐组（门1–14 手写）,承注,,謨謨。則異熟果盡。戒福得升初天。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1835,第7门,增上戒學門,卷3,八關齋戒,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1836,第7门,增上戒學門,卷3,八關齋戒,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1837,第7门,增上戒學門,卷3,八關齋戒,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1838,第7门,增上戒學門,卷3,八關齋戒,謨佛,謨,爱烦恼,佛,无漏善慧,行,初乾慧地,第11门,升,,「謨」表爱烦恼、「佛」表无漏善慧。乾慧以治思，故入初乾慧地。,手工逐组（门1–14 手写）,承注,,謨佛。則乾慧以治思。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1839,第7门,增上戒學門,卷3,八關齋戒,阿阿,阿,施善,阿,施善,行,沙彌十戒,第7门,升,,「阿阿」二字俱表施善。随力浅深，渐成增上，故进受沙弥十戒。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1840,第7门,增上戒學門,卷3,八關齋戒,阿彌,阿,施善,彌,戒善,行,持比丘律,第7门,升,,「阿」表施善、「彌」表戒善。随力浅深，渐成增上，故能持比丘律。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1841,第7门,增上戒學門,卷3,八關齋戒,阿陀,阿,施善,陀,定善,行,持二部律,第7门,升,,「阿」表施善、「陀」表定善。随力浅深，渐成增上，故能持二部律。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1842,第7门,增上戒學門,卷3,八關齋戒,阿佛,阿,施善,佛,无漏善慧,行,業清淨戒,第7门,升,,「阿」表施善、「佛」表无漏善慧。成菩萨居士，故业清净，入业清净戒。,手工逐组（门1–14 手写）,承注,,阿佛。則成菩薩居士。故業清淨。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1843,第7门,增上戒學門,卷3,八關齋戒,彌彌,彌,戒善,彌,戒善,行,持二部律,第7门,升,,「彌彌」二字俱表戒善。随力浅深，渐成增上，故能持二部律。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1844,第7门,增上戒學門,卷3,八關齋戒,彌陀,彌,戒善,陀,定善,行,廣持毗尼,第7门,升,,「彌」表戒善、「陀」表定善。随力浅深，渐成增上，故广持毗尼。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1845,第7门,增上戒學門,卷3,八關齋戒,彌佛,彌,戒善,佛,无漏善慧,行,餘清淨戒,第7门,升,,「彌」表戒善、「佛」表无漏善慧。为菩萨比丘，故余清净，入余清净戒。,手工逐组（门1–14 手写）,承注,,彌佛。則為菩薩比丘。故餘清淨。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1846,第7门,增上戒學門,卷3,八關齋戒,陀陀,陀,定善,陀,定善,行,住毗尼而不動,第7门,升,,「陀陀」二字俱表定善。随力浅深，渐成增上，故住毗尼而不动。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1847,第7门,增上戒學門,卷3,八關齋戒,陀佛,陀,定善,佛,无漏善慧,行,中品中生,第14门,横超,,「陀」表定善、「佛」表无漏善慧。准十六观经而生净土，故得中品中生。,手工逐组（门1–14 手写）,承注,,陀佛。則准十六觀經而生淨土。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1848,第7门,增上戒學門,卷3,八關齋戒,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十信位,第13门,升,,「佛佛」二字俱表无漏善慧。悟戒之实相而净六根，故入圆十信位。,手工逐组（门1–14 手写）,承注,,佛佛。則悟戒之實相而淨六根。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1849,第7门,增上戒學門,卷3,沙彌十戒,那那,那,见烦恼,那,见烦恼,行,四王天,第4门,升,,「那那」二字俱表见烦恼。前异熟尽，承戒力以生天，故生四王天。,手工逐组（门1–14 手写）,直說,那那等二。則前異熟盡。承戒力以生天。,那那等二。則前異熟盡。承戒力以生天。,《選佛譜》卷第三・沙彌十戒・L153,沙彌十戒
1850,第7门,增上戒學門,卷3,沙彌十戒,那謨,那,见烦恼,謨,爱烦恼,行,忉利天,第4门,升,,「那」表见烦恼、「謨」表爱烦恼。前异熟尽，承戒力以生天，故生忉利天。,手工逐组（门1–14 手写）,直說,那那等二。則前異熟盡。承戒力以生天。,那那等二。則前異熟盡。承戒力以生天。,《選佛譜》卷第三・沙彌十戒・L153,沙彌十戒
1851,第7门,增上戒學門,卷3,沙彌十戒,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,餘可知。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1852,第7门,增上戒學門,卷3,沙彌十戒,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,餘可知。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1853,第7门,增上戒學門,卷3,沙彌十戒,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,餘可知。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1854,第7门,增上戒學門,卷3,沙彌十戒,那佛,那,见烦恼,佛,无漏善慧,行,別相念,第10门,升,,「那」表见烦恼、「佛」表无漏善慧。终身受持而功行又胜，故进以念处调见，入别相念。,手工逐组（门1–14 手写）,承注,餘可知。,那佛。則五停以調見,《選佛譜》卷第三・在家五戒・L145,在家五戒
1855,第7门,增上戒學門,卷3,沙彌十戒,謨謨,謨,爱烦恼,謨,爱烦恼,行,在家五戒,第7门,降,,「謨謨」二字俱表爱烦恼。爱染偏强，退求寂以归俗，故还持在家五戒。,手工逐组（门1–14 手写）,直說,謨謨。則愛染偏強。退求寂以歸俗。,謨謨。則愛染偏強。退求寂以歸俗。,《選佛譜》卷第三・沙彌十戒・L153,沙彌十戒
